time,posttime,package,uid,type,schedulingon
1527446553224,1527446483300,com.sec.android.app.samsungapps,10025,1,1
1527446636090,1527446553963,com.sec.android.app.samsungapps,10025,1,1
1527446730664,1527446650448,com.sec.android.app.samsungapps,10025,1,1
1527446731228,1527446548859,com.sec.android.app.samsungapps,10025,1,1
1527446731364,1527446633344,com.sec.android.app.samsungapps,10025,1,1
1527446731404,1527446728999,com.sec.android.app.samsungapps,10025,1,1
1527458425878,1527458401158,com.sec.android.app.clockpackage,10176,1,1
1527460269621,1527460201002,com.sec.android.app.clockpackage,10176,1,1
1527460501006,1527460269656,com.sec.android.app.clockpackage,10176,1,1
1527460511964,1527460500993,com.sec.android.app.clockpackage,10176,1,1
1527460800980,1527460511993,com.sec.android.app.clockpackage,10176,1,1
1527460810800,1527460800963,com.sec.android.app.clockpackage,10176,1,1
1527460821623,1527431133845,com.kakao.talk,10194,1,1
1527480122464,1527479678053,com.kakao.talk,10194,1,1
1527481595745,1527476127287,com.nhn.android.band,10209,1,1
1527481596300,1527476127328,com.nhn.android.band,10209,1,1
1527482157943,1527476335431,com.google.android.gm,10125,1,1
1527482157951,1527476335466,com.google.android.gm,10125,1,1
1527483828378,1527482281280,android,1000,1,1
1527484252314,1527483828387,android,1000,1,1
1527485790130,1527484252271,android,1000,1,1
1527490391674,1527490391437,com.facebook.orca,10292,1,1
1527490399759,1527490158589,com.facebook.orca,10292,1,1
1527490409273,1527486606143,kr.co.aladin.third_shop,10200,1,1
1527491066236,1527491037437,com.kakao.talk,10194,1,1
1527491438308,1527491396445,com.kakao.talk,10194,1,1
1527491679593,1527491064754,com.ebay.kr.auction,10199,1,1
1527494148564,1527493263013,kr.co.aladin.third_shop,10200,1,1
1527494764802,1527494764366,gogolook.callgogolook2,10287,1,1
1527494794677,1527494794340,gogolook.callgogolook2,10287,1,1
1527494931145,1527494794331,com.android.server.telecom,1000,1,1
1527494931266,1527494794449,gogolook.callgogolook2,10287,1,1
1527494946790,1527494946548,gogolook.callgogolook2,10287,1,1
1527494954438,1527494953911,com.samsung.android.incallui,1001,1,1
1527494954449,1527494954341,gogolook.callgogolook2,10287,1,1
1527497222137,1527495662480,msnl.unist.smartpush,10311,1,1
1527497222216,1527495542208,msnl.unist.smartpush,10311,1,1
1527497222221,1527495572285,msnl.unist.smartpush,10311,1,1
1527497222234,1527495619448,msnl.unist.smartpush,10311,1,1
1527497222240,1527495662433,msnl.unist.smartpush,10311,1,1
1527497222245,1527495692892,msnl.unist.smartpush,10311,1,1
1527497222250,1527495720026,msnl.unist.smartpush,10311,1,1
1527497222258,1527495802756,msnl.unist.smartpush,10311,1,1
1527497222267,1527495832587,msnl.unist.smartpush,10311,1,1
1527497222273,1527495856221,msnl.unist.smartpush,10311,1,1
1527497222278,1527495865642,msnl.unist.smartpush,10311,1,1
1527497222283,1527495879670,msnl.unist.smartpush,10311,1,1
1527497222287,1527495897397,msnl.unist.smartpush,10311,1,1
1527497222292,1527496018090,msnl.unist.smartpush,10311,1,1
1527497222296,1527496050466,msnl.unist.smartpush,10311,1,1
1527497222300,1527496060865,msnl.unist.smartpush,10311,1,1
1527497222305,1527496089179,msnl.unist.smartpush,10311,1,1
1527497222310,1527496093056,msnl.unist.smartpush,10311,1,1
1527497222314,1527496123698,msnl.unist.smartpush,10311,1,1
1527497222319,1527496135452,msnl.unist.smartpush,10311,1,1
1527497222324,1527496170060,msnl.unist.smartpush,10311,1,1
1527497222328,1527496179275,msnl.unist.smartpush,10311,1,1
1527497222332,1527496185031,msnl.unist.smartpush,10311,1,1
1527497222336,1527496211769,msnl.unist.smartpush,10311,1,1
1527497222341,1527496271017,msnl.unist.smartpush,10311,1,1
1527497222346,1527496282746,msnl.unist.smartpush,10311,1,1
1527497222351,1527496289377,msnl.unist.smartpush,10311,1,1
1527497222357,1527496301668,msnl.unist.smartpush,10311,1,1
1527497222362,1527496333486,msnl.unist.smartpush,10311,1,1
1527497223872,1527495062771,android,1000,1,1
1527497455724,1527497223826,android,1000,1,1
1527516039031,1527511039155,com.kakao.talk,10194,1,1
1527516039055,1527515268381,com.kakao.talk,10194,1,1
1527552005883,1527552001146,com.sec.android.app.clockpackage,10176,1,1
1527552655494,1527550695357,com.nhn.android.music,10210,1,1
1527553754544,1527553260395,com.google.android.apps.maps,10153,1,1
1527554941501,1527550010337,com.kakao.talk,10194,1,1
1527555005755,1527554938825,com.google.android.apps.maps,10153,1,1
1527556210903,1527556158385,com.kakao.talk,10194,1,1
1527556238701,1527556234419,com.kakao.talk,10194,1,1
1527556294713,1527556286952,com.kakao.talk,10194,1,1
1527556815022,1527556452401,com.kakao.talk,10194,1,1
1527559953955,1527558095111,com.kakao.talk,10194,1,1
1527559955535,1527551450952,kr.co.rinasoft.howuse,10251,1,1
1527559957280,1527550470531,com.facebook.katana,10275,1,1
1527559971554,1527558390697,gogolook.callgogolook2,10287,1,1
1527560185425,1527560179567,com.facebook.orca,10292,1,1
