time,posttime,package,uid,type,schedulingon
1527426517393,1527426010938,kr.co.rinasoft.howuse,10251,0,0
1527426517398,1527424294522,com.wr.alrim,10197,0,0
1527426517398,1527421538650,com.wr.alrim,10197,0,0
1527426517399,1527425386247,com.sirma.mobile.bible.android,10204,0,0
1527426517400,1527415282993,flipboard.boxer.app,10118,0,0
1527426517400,1527379250773,com.saltybright.android.verse,10293,0,0
1527426517401,1527426405145,kr.co.rinasoft.howuse,10251,0,0
1527426517401,1527426477282,com.android.systemui,10007,0,0
1527426517402,1527426025049,android,1000,0,0
1527426669802,1527426588283,com.sec.android.app.samsungapps,10025,0,0
1527426669807,1527426550627,kr.co.rinasoft.howuse,10251,0,0
1527426669807,1527426658233,com.android.systemui,10007,0,0
1527426832546,1527426802843,com.google.android.gm,10125,0,0
1527426832547,1527426802886,com.google.android.gm,10125,0,0
1527426832549,1527426704729,kr.co.rinasoft.howuse,10251,0,0
1527426832551,1527426819130,com.android.systemui,10007,0,0
1527426854073,1527426850020,com.android.systemui,10007,0,0
1527426899479,1527426896544,kr.co.rinasoft.howuse,10251,0,0
1527426903434,1527426899536,com.android.systemui,10007,0,0
1527426946240,1527426929798,com.android.systemui,10007,0,0
1527426992259,1527426980353,com.google.android.gm,10125,0,0
1527426992260,1527426980367,com.google.android.gm,10125,0,0
1527426992263,1527426990070,com.android.systemui,10007,0,0
1527427057156,1527426993185,kr.co.rinasoft.howuse,10251,0,0
1527427057157,1527427050419,com.android.systemui,10007,0,0
1527427157938,1527427149600,com.facebook.katana,10275,0,0
1527427157942,1527427140944,com.android.systemui,10007,0,0
1527427164326,1527427159860,com.google.android.gm,10125,0,0
1527427164329,1527427159878,com.google.android.gm,10125,0,0
1527427164333,1527427158877,kr.co.rinasoft.howuse,10251,0,0
1527427271177,1527427265625,com.facebook.orca,10292,0,0
1527427271179,1527427222032,kr.co.rinasoft.howuse,10251,0,0
1527427271180,1527427241550,com.android.systemui,10007,0,0
1527427271181,1527427264630,com.facebook.orca,10292,0,0
1527427274889,1527427271653,com.android.systemui,10007,0,0
1527427285896,1527427284380,kr.co.rinasoft.howuse,10251,0,0
1527427323328,1527427321977,com.android.systemui,10007,0,0
1527427334654,1527427331540,com.facebook.orca,10292,0,0
1527427406568,1527427354684,com.facebook.orca,10292,0,0
1527427406569,1527427369003,kr.co.rinasoft.howuse,10251,0,0
1527427406570,1527427382397,com.android.systemui,10007,0,0
1527427497624,1527427453928,kr.co.rinasoft.howuse,10251,0,0
1527427497625,1527427483001,com.android.systemui,10007,0,0
1527427691424,1527427519711,kr.co.rinasoft.howuse,10251,0,0
1527427691425,1527427674127,com.android.systemui,10007,0,0
1527428347059,1527427914456,com.google.android.gm,10125,0,0
1527428347061,1527427914484,com.google.android.gm,10125,0,0
1527428347063,1527428327979,com.android.systemui,10007,0,0
1527428484837,1527428356070,kr.co.rinasoft.howuse,10251,0,0
1527428484837,1527428478871,com.android.systemui,10007,0,0
1527428557955,1527428557794,com.kakao.talk,10194,0,0
1527428557962,1527428539202,com.android.systemui,10007,0,0
1527428568971,1527428561819,kr.co.rinasoft.howuse,10251,0,0
1527428568973,1527428559270,com.android.systemui,10007,0,0
1527428766176,1527428760453,com.android.systemui,10007,0,0
1527428846762,1527428846326,com.samsung.android.incallui,1001,0,0
1527428846766,1527428767139,kr.co.rinasoft.howuse,10251,0,0
1527428846767,1527428840946,com.android.systemui,10007,0,0
1527428903778,1527428903549,com.samsung.android.incallui,1001,0,0
1527428903780,1527428881208,com.android.systemui,10007,0,0
1527429024536,1527429021008,com.google.android.gm,10125,0,0
1527429024537,1527429021034,com.google.android.gm,10125,0,0
1527429024539,1527428905079,com.samsung.android.incallui,1001,0,0
1527429024541,1527429012022,com.android.systemui,10007,0,0
1527429126249,1527429122688,com.android.systemui,10007,0,0
1527429475660,1527429154662,kr.co.rinasoft.howuse,10251,0,0
1527429475661,1527429474784,com.android.systemui,10007,0,0
1527429551129,1527429517825,kr.co.rinasoft.howuse,10251,0,0
1527431218051,1527431037409,com.nhn.android.band,10209,0,0
1527431218055,1527431037386,com.nhn.android.band,10209,0,0
1527431218062,1527431133845,com.kakao.talk,10194,0,0
1527434779981,1527434361771,com.facebook.katana,10275,0,0
1527434779993,1527434779953,kr.co.rinasoft.howuse,10251,0,0
1527437536666,1527437504433,kr.co.rinasoft.howuse,10251,0,0
1527442029840,1527438355942,com.instagram.android,10285,0,0
1527442029843,1527442019665,kr.co.rinasoft.howuse,10251,0,0
1527442205533,1527442150989,kr.co.rinasoft.howuse,10251,0,0
1527462002235,1527446675693,com.sec.android.daemonapp,10150,0,0
1527462002238,1527462001047,com.sec.android.app.clockpackage,10176,0,0
1527462002239,1527446525871,com.google.android.apps.photos,10158,0,0
1527462002242,1527442327077,com.android.vending,10040,0,0
1527462002242,1527461612426,kr.co.rinasoft.howuse,10251,0,0
1527462002244,1527461756273,msnl.unist.smartpushscheduler,10310,0,0
1527462600814,1527462600366,com.kakao.talk,10194,0,0
1527462600828,1527462331628,msnl.unist.smartpushscheduler,10310,0,0
1527462712392,1527462605175,com.kakao.talk,10194,0,0
1527462876877,1527462864020,kr.co.rinasoft.howuse,10251,0,0
1527463061462,1527463061241,com.wr.alrim,10197,0,0
1527463061463,1527463061129,com.wr.alrim,10197,0,0
1527463802443,1527463801844,com.nhn.android.music,10210,0,0
1527463802444,1527463801128,com.sec.android.app.clockpackage,10176,0,0
1527463802447,1527463661793,kr.co.rinasoft.howuse,10251,0,0
1527464460745,1527464404566,com.nhn.android.music,10210,0,0
1527464460751,1527463813342,kr.co.rinasoft.howuse,10251,0,0
1527465103929,1527465009108,kr.co.rinasoft.howuse,10251,0,0
1527465103933,1527464460940,com.nhn.android.music,10210,0,0
1527465601895,1527465600926,com.sec.android.app.clockpackage,10176,0,0
1527465936911,1527465623225,com.saltybright.android.verse,10293,0,0
1527465936913,1527465757040,kr.co.rinasoft.howuse,10251,0,0
1527466703770,1527466703389,com.kakao.talk,10194,0,0
1527466703781,1527466095961,kr.co.rinasoft.howuse,10251,0,0
1527467786694,1527467667151,kr.co.rinasoft.howuse,10251,0,0
1527468865514,1527467869358,kr.co.rinasoft.howuse,10251,0,0
1527469091163,1527468951959,kr.co.rinasoft.howuse,10251,0,0
1527469711283,1527469710347,com.samsung.android.messaging,10083,0,0
1527469711287,1527469710698,com.samsung.android.messaging,10083,0,0
1527469711288,1527469710623,com.samsung.android.messaging,10083,0,0
1527469711292,1527469486460,kr.co.rinasoft.howuse,10251,0,0
1527470187614,1527470187029,com.samsung.android.incallui,1001,0,0
1527470296056,1527470295696,com.samsung.android.incallui,1001,0,0
1527475675667,1527475522416,com.kakao.talk,10194,0,0
1527475675671,1527475515734,kr.co.rinasoft.howuse,10251,0,0
1527476403813,1527476335431,com.google.android.gm,10125,0,0
1527476403814,1527476335466,com.google.android.gm,10125,0,0
1527476403815,1527476127328,com.nhn.android.band,10209,0,0
1527476403817,1527476127287,com.nhn.android.band,10209,0,0
1527476403818,1527476402451,com.sec.android.app.clockpackage,10176,0,0
1527476403818,1527476212659,com.kakao.talk,10194,0,0
