time,posttime,package,uid,type,schedulingon
1527458404239,1527434361771,com.facebook.katana,10275,0,1
1527458404244,1527446675693,com.sec.android.daemonapp,10150,0,1
1527458404245,1527431037409,com.nhn.android.band,10209,0,1
1527458404246,1527431037386,com.nhn.android.band,10209,0,1
1527458404246,1527431133845,com.kakao.talk,10194,0,1
1527458404247,1527458401158,com.sec.android.app.clockpackage,10176,0,1
1527458404247,1527446525871,com.google.android.apps.photos,10158,0,1
1527458404248,1527428905079,com.samsung.android.incallui,1001,0,1
1527458404248,1527379250773,com.saltybright.android.verse,10293,0,1
1527458404249,1527442327077,com.android.vending,10040,0,1
1527458404249,1527458402310,msnl.unist.smartpushscheduler,10310,0,1
1527458404250,1527442150989,kr.co.rinasoft.howuse,10251,0,1
1527460202362,1527460201002,com.sec.android.app.clockpackage,10176,0,1
1527460202366,1527458407362,kr.co.rinasoft.howuse,10251,0,1
1527460202368,1527460201886,msnl.unist.smartpushscheduler,10310,0,1
1527460503369,1527460500993,com.sec.android.app.clockpackage,10176,0,1
1527460503373,1527460300480,kr.co.rinasoft.howuse,10251,0,1
1527460503374,1527460308692,msnl.unist.smartpushscheduler,10310,0,1
1527460801788,1527460800963,com.sec.android.app.clockpackage,10176,0,1
1527460801791,1527460534659,kr.co.rinasoft.howuse,10251,0,1
1527460801793,1527460517387,msnl.unist.smartpushscheduler,10310,0,1
1527461480377,1527461479732,msnl.unist.smartpushscheduler,10310,0,1
1527461486144,1527461480379,msnl.unist.smartpushscheduler,10310,0,1
1527481458233,1527476335431,com.google.android.gm,10125,0,1
1527481458238,1527476335466,com.google.android.gm,10125,0,1
1527481458244,1527476127328,com.nhn.android.band,10209,0,1
1527481458246,1527476127287,com.nhn.android.band,10209,0,1
1527481458246,1527465623225,com.saltybright.android.verse,10293,0,1
1527481458247,1527480048581,kr.co.rinasoft.howuse,10251,0,1
1527481458249,1527480085995,msnl.unist.smartpushscheduler,10310,0,1
1527482154201,1527481605541,kr.co.rinasoft.howuse,10251,0,1
1527482154203,1527481645360,msnl.unist.smartpushscheduler,10310,0,1
1527482282913,1527482281280,android,1000,0,1
1527482282917,1527482235882,kr.co.rinasoft.howuse,10251,0,1
1527482282919,1527482278456,msnl.unist.smartpushscheduler,10310,0,1
1527483753505,1527483752734,msnl.unist.smartpushscheduler,10310,0,1
1527483753507,1527483749631,com.android.systemui,10007,0,1
1527484251208,1527483828387,android,1000,0,1
1527484251209,1527483775534,kr.co.rinasoft.howuse,10251,0,1
1527484251210,1527484249647,msnl.unist.smartpushscheduler,10310,0,1
1527484251211,1527484222343,com.android.systemui,10007,0,1
1527484770335,1527484322805,kr.co.rinasoft.howuse,10251,0,1
1527484770339,1527484252271,android,1000,0,1
1527484770340,1527484768301,msnl.unist.smartpushscheduler,10310,0,1
1527484770343,1527484755369,com.android.systemui,10007,0,1
1527485789711,1527484809840,kr.co.rinasoft.howuse,10251,0,1
1527485789719,1527485787258,msnl.unist.smartpushscheduler,10310,0,1
1527485805246,1527485804165,msnl.unist.smartpushscheduler,10310,0,1
